LPI Rank,Rd.Pick,Player,Pos (Rank),Team,Depth,LPI Proj PPG,Season VORP,Mkt ADP,Diff vs ADP,Draft Grade at ADP
248,21.08,Trey Benson,RB81,ARI,Reserve,0.22,-123.7,257.5,9.5,77
249,21.09,Caleb Douglas,WR93,FA,Free Agent,0.0,-129.3,259.0,10.0,71
250,21.10,Germie Bernard,WR94,FA,Free Agent,0.0,-129.3,261.0,11.0,71
251,21.11,Jarquez Hunter,RB82,LAR,Reserve,0.24,-123.4,263.0,12.0,77
252,21.12,Kareem Hunt,RB83,FA,Free Agent,0.0,-127.2,269.0,17.0,76
253,22.01,Keenan Allen,WR95,FA,Free Agent,0.0,-129.3,269.0,16.0,71
254,22.02,Ted Hurst III,WR96,FA,Free Agent,0.0,-129.3,271.0,17.0,71
255,22.03,Pat Bryant,WR97,DEN,Reserve,0.27,-125.3,272.0,17.0,72
256,22.04,Chimere Dike,WR98,TEN,Reserve,0.27,-125.3,274.5,18.5,72
257,22.05,Christian Kirk,WR99,FA,Free Agent,0.0,-129.3,274.5,17.5,71
258,22.06,Chris Bell,WR100,FA,Free Agent,0.0,-129.3,275.5,17.5,71
259,22.07,Max Klare,TE39,FA,Free Agent,0.0,-78.8,277.0,18.0,79
260,22.08,Michael Trigg,TE40,FA,Free Agent,0.0,-78.8,278.0,18.0,79
261,22.09,Elijah Sarratt,WR101,FA,Free Agent,0.0,-129.3,279.0,18.0,71
262,22.10,Samaje Perine,RB84,CIN,RB2,3.17,-76.5,287.0,25.0,83
263,22.11,Chris Brooks,RB85,GB,RB2,3.17,-76.5,297.0,34.0,83
264,22.12,Keon Coleman,WR102,BUF,Reserve,0.34,-124.2,280.5,16.5,72
265,23.01,DJ Giddens,RB86,IND,RB2,3.17,-76.5,295.0,30.0,83
266,23.02,Joe Mixon,RB87,FA,Free Agent,0.0,-127.2,282.0,16.0,76
267,23.03,Skyler Bell,WR103,FA,Free Agent,0.0,-129.3,282.0,15.0,71
268,23.04,Emari Demercado,RB88,KC,RB2,3.17,-76.5,304.0,36.0,83
269,23.05,Ty Simpson,QB38,FA,Free Agent,0.0,-109.6,283.0,14.0,65
270,23.06,Elic Ayomanor,WR104,TEN,Reserve,0.27,-125.3,284.0,14.0,72
271,23.07,Jack Bech,WR105,LV,Reserve,0.27,-125.3,284.0,13.0,72
272,23.08,Chris Brazzell II,WR106,FA,Free Agent,0.0,-129.3,284.0,12.0,71
273,23.09,Cyrus Allen,WR107,FA,Free Agent,0.0,-129.3,285.0,12.0,71
274,23.10,Alexander Mattison,RB89,FA,Free Agent,0.0,-127.2,286.0,12.0,76
275,23.11,Brenen Thompson,WR108,FA,Free Agent,0.0,-129.3,288.0,13.0,71
276,23.12,Devin Neal,RB90,NO,Reserve,0.24,-123.4,291.0,15.0,77
277,24.01,Ollie Gordon II,RB91,MIA,Reserve,0.24,-123.4,293.0,16.0,77
278,24.02,Najee Harris,RB92,FA,Free Agent,0.0,-127.2,293.5,15.5,76
279,24.03,Jerome Ford,RB93,FA,Free Agent,0.0,-127.2,301.0,22.0,76
280,24.04,Isaiah Davis,RB94,NYJ,Reserve,0.24,-123.4,303.0,23.0,77
281,24.05,Adam Randall,RB95,FA,Free Agent,0.0,-127.2,305.0,24.0,76
282,24.06,Seth McGowan,RB96,FA,Free Agent,0.0,-127.2,307.0,25.0,76
283,24.07,Ja'Tavion Sanders,TE41,CAR,Starter,6.0,-6.8,Unranked,N/A,96
284,24.08,Grant Calcaterra,TE42,PHI,Starter,6.0,-6.8,Unranked,N/A,96
285,24.09,Josh Oliver,TE43,MIN,TE2,2.4,-50.0,Unranked,N/A,85
286,24.10,Tip Reiman,TE44,ARI,TE2,2.4,-50.0,Unranked,N/A,85
287,24.11,Austin Hooper,TE45,ATL,TE2,2.4,-50.0,Unranked,N/A,85
288,24.12,Tyler Higbee,TE46,LAR,TE2,2.4,-50.0,Unranked,N/A,85
289,25.01,Michael Mayer,TE47,LV,TE2,2.4,-50.0,Unranked,N/A,85
290,25.02,Johnny Mundt,TE48,PHI,TE2,2.4,-50.0,Unranked,N/A,85
291,25.03,Jeremy Ruckert,TE49,NYJ,TE2,2.4,-50.0,Unranked,N/A,85
292,25.04,Noah Fant,TE50,NO,TE2,2.4,-50.0,Unranked,N/A,85
293,25.05,John Bates,TE51,WAS,TE2,2.4,-50.0,Unranked,N/A,85
294,25.06,Ben Sims,TE52,MIA,TE2,2.4,-50.0,Unranked,N/A,85
295,25.07,Will Mallory,TE53,IND,TE2,2.4,-50.0,Unranked,N/A,85
296,25.08,Adam Trautman,TE54,DEN,TE2,2.4,-50.0,Unranked,N/A,85
297,25.09,Brevin Jordan,TE55,HOU,TE2,2.4,-50.0,Unranked,N/A,85
298,25.10,Tommy Tremble,TE56,CAR,TE2,2.4,-50.0,Unranked,N/A,85
299,25.11,Durham Smythe,TE57,BAL,TE2,2.4,-50.0,Unranked,N/A,85
300,25.12,Charlie Kolar,TE58,LAC,TE2,2.4,-50.0,Unranked,N/A,85
301,26.01,Brock Wright,TE59,DET,TE2,2.4,-50.0,Unranked,N/A,85
302,26.02,Luke Musgrave,TE60,GB,TE2,2.4,-50.0,Unranked,N/A,85
303,26.03,Dawson Knox,TE61,BUF,TE2,2.4,-50.0,Unranked,N/A,85
304,26.04,Quintin Morris,TE62,JAX,TE2,2.4,-50.0,Unranked,N/A,85
305,26.05,Julian Hill,TE63,NE,TE2,2.4,-50.0,Unranked,N/A,85
306,26.06,Erick All Jr.,TE64,CIN,TE2,2.4,-50.0,Unranked,N/A,85
307,26.07,Elijah Arroyo,TE65,SEA,TE2,2.4,-50.0,Unranked,N/A,85
308,26.08,Payne Durham,TE66,TB,TE2,2.4,-50.0,Unranked,N/A,85
309,26.09,Cole Kmet,TE67,CHI,TE2,2.4,-50.0,Unranked,N/A,85
310,26.10,Brevyn Spann-Ford,TE68,DAL,TE2,2.4,-50.0,Unranked,N/A,85
311,26.11,Noah Gray,TE69,KC,TE2,2.4,-50.0,Unranked,N/A,85
312,26.12,Daniel Bellinger,TE70,TEN,TE2,2.4,-50.0,Unranked,N/A,85
313,27.01,Jack Stoll,TE71,CLE,TE2,2.4,-50.0,Unranked,N/A,85
314,27.02,Ricky Pearsall,WR109,SF,WR2,4.58,-61.8,Unranked,N/A,83
315,27.03,Dylan Laube,RB97,LV,RB2,3.9,-64.8,Unranked,N/A,84
316,27.04,Malik Davis,RB98,DAL,RB2,3.9,-64.8,Unranked,N/A,84
317,27.05,Kenneth Gainwell,RB99,TB,RB2,3.9,-64.8,Unranked,N/A,84
318,27.06,Nathan Carter,RB100,ATL,RB2,3.9,-64.8,Unranked,N/A,84
319,27.07,Aidan O'Connell,QB39,LV,Starter,6.0,-66.4,Unranked,N/A,70
320,27.08,Mason Rudolph,QB40,PIT,Starter,6.0,-66.4,Unranked,N/A,70
321,27.09,Darius Slayton,WR110,NYG,WR2,4.2,-67.4,Unranked,N/A,82
322,27.10,Luke McCaffrey,WR111,WAS,WR2,4.2,-67.4,Unranked,N/A,82
323,27.11,Cedric Tillman,WR112,CLE,WR2,4.2,-67.4,Unranked,N/A,82
324,27.12,Tanner McLachlan,TE72,LAC,Reserve,0.3,-75.2,Unranked,N/A,78
325,28.01,Caden Prieskorn,TE73,CLE,Reserve,0.3,-75.2,Unranked,N/A,78
326,28.02,Jared Wiley,TE74,KC,Reserve,0.3,-75.2,Unranked,N/A,78
327,28.03,Jalin Conyers,TE75,MIA,Reserve,0.3,-75.2,Unranked,N/A,78
328,28.04,Tanner Conner,TE76,NYG,Reserve,0.3,-75.2,Unranked,N/A,78
329,28.05,Nate Adkins,TE77,DEN,Reserve,0.3,-75.2,Unranked,N/A,78
330,28.06,Patrick Herbert,TE78,JAX,Reserve,0.3,-75.2,Unranked,N/A,78
331,28.07,Marshall Lang,TE79,NE,Reserve,0.3,-75.2,Unranked,N/A,78
332,28.08,Luke Lachey,TE80,HOU,Reserve,0.3,-75.2,Unranked,N/A,78
333,28.09,Keleki Latu,TE81,BUF,Reserve,0.3,-75.2,Unranked,N/A,78
334,28.10,James Mitchell,TE82,CAR,Reserve,0.3,-75.2,Unranked,N/A,78
335,28.11,Davis Allen,TE83,LAR,Reserve,0.3,-75.2,Unranked,N/A,78
336,28.12,Qadir Ismail,TE84,CHI,Reserve,0.3,-75.2,Unranked,N/A,78
337,29.01,Charlie Woerner,TE85,ATL,Reserve,0.3,-75.2,Unranked,N/A,78
338,29.02,Princeton Fant,TE86,DAL,Reserve,0.3,-75.2,Unranked,N/A,78
339,29.03,Zack Kuntz,TE87,MIA,Reserve,0.3,-75.2,Unranked,N/A,78
340,29.04,Albert Okwuegbunam Jr.,TE88,LV,Reserve,0.3,-75.2,Unranked,N/A,78
341,29.05,Jake Briningstool,TE89,KC,Reserve,0.3,-75.2,Unranked,N/A,78
342,29.06,None,TE90,NYG,Reserve,0.3,-75.2,Unranked,N/A,78
343,29.07,Nikola Kalinic,TE91,CHI,Reserve,0.3,-75.2,Unranked,N/A,78
344,29.08,Lucas Krull,TE92,DEN,Reserve,0.3,-75.2,Unranked,N/A,78
345,29.09,Drew Ogletree,TE93,IND,Reserve,0.3,-75.2,Unranked,N/A,78
