LPI_Rank,LPI_Round_Pick,Player_Name,Position,Pos_Rank,Team,LPI_Predicted_PPG,Pos_Replacement_PPG,Projected_VORP_Per_Game,Projected_Season_VORP,Consensus_ADP_Rank,Consensus_ADP_Round_Pick,LPI_vs_ADP_Diff,Prospective_Grade_at_ADP
74,7.02,Christian McCaffrey,RB,RB31,SF,9.89,7.9497,1.94,31.0,7,1.07,-67,17
75,7.03,Javonte Williams,RB,RB32,DAL,9.88,7.9497,1.93,30.9,110,10.02,35,86
76,7.04,Colston Loveland,TE,TE9,CHI,8.5,6.5682,1.93,30.9,113,10.05,37,77
77,7.05,Tyler Warren,TE,TE10,IND,8.47,6.5682,1.9,30.4,92,8.08,15,74
78,7.06,Terry McLaurin,WR,WR19,WAS,10.67,8.7782,1.89,30.2,42,4.06,-36,61
79,7.07,Cam Skattebo,RB,RB33,NYG,9.81,7.9497,1.86,29.8,105,9.09,26,81
80,7.08,Tucker Kraft,TE,TE11,GB,8.38,6.5682,1.81,29.0,95,8.11,15,75
81,7.09,Jaydon Blue,RB,RB34,DAL,9.75,7.9497,1.8,28.8,131,11.11,50,90
82,7.10,Mason Taylor,TE,TE12,NYJ,8.37,6.5682,1.8,28.8,191,16.11,109,90
83,7.11,Rhamondre Stevenson,RB,RB35,NE,9.65,7.9497,1.7,27.2,115,10.07,32,88
84,7.12,Brian Robinson Jr.,RB,RB36,ATL,9.55,7.9497,1.6,25.6,101,9.05,17,74
85,8.01,Kyle Pitts Sr.,TE,TE13,ATL,8.15,6.5682,1.58,25.3,130,11.10,45,76
86,8.02,Zay Flowers,WR,WR20,BAL,10.3,8.7782,1.52,24.3,64,6.04,-22,67
87,8.03,DeVonta Smith,WR,WR21,PHI,10.24,8.7782,1.46,23.4,55,5.07,-32,64
88,8.04,Tyrone Tracy Jr.,RB,RB37,NYG,9.4,7.9497,1.45,23.2,74,7.02,-14,64
89,8.05,Braelon Allen,RB,RB38,NYJ,9.35,7.9497,1.4,22.4,111,10.03,22,84
90,8.06,Jordan Addison,WR,WR22,MIN,10.12,8.7782,1.34,21.4,96,8.12,6,78
91,8.07,Marvin Harrison Jr.,WR,WR23,ARI,10.04,8.7782,1.26,20.2,39,4.03,-52,50
92,8.08,Evan Engram,TE,TE14,DEN,7.82,6.5682,1.25,20.0,82,7.10,-10,60
93,8.09,Joe Flacco,QB,QB18,CIN,16.45,15.2152,1.23,19.7,258,22.06,165,79
94,8.10,Tank Bigsby,RB,RB39,PHI,9.16,7.9497,1.21,19.4,108,9.12,14,79
95,8.11,George Pickens,WR,WR24,DAL,9.93,8.7782,1.15,18.4,60,5.12,-35,62
96,8.12,Dalton Kincaid,TE,TE15,BUF,7.7,6.5682,1.13,18.1,124,11.04,28,69
97,9.01,Kyle Monangai,RB,RB40,CHI,9.05,7.9497,1.1,17.6,213,18.09,116,81
98,9.02,T.J. Hockenson,TE,TE16,MIN,7.61,6.5682,1.04,16.6,65,6.05,-33,51
99,9.03,Zach Charbonnet,RB,RB41,SEA,8.99,7.9497,1.04,16.6,93,8.09,-6,62
100,9.04,DK Metcalf,WR,WR25,PIT,9.72,8.7782,0.94,15.0,48,4.12,-52,56
101,9.05,Jakobi Meyers,WR,WR26,JAC,9.72,8.7782,0.94,15.0,90,8.06,-11,74
102,9.06,Isaac Guerendo,RB,RB42,SF,8.76,7.9497,0.81,13.0,183,16.03,81,81
103,9.07,Tetairoa McMillan,WR,WR27,CAR,9.57,8.7782,0.79,12.6,58,5.10,-45,57
104,9.08,Ray Davis,RB,RB43,BUF,8.73,7.9497,0.78,12.5,149,13.05,45,83
105,9.09,Jayden Higgins,WR,WR28,HOU,9.54,8.7782,0.76,12.2,142,12.10,37,85
106,9.10,Emeka Egbuka,WR,WR29,TB,9.52,8.7782,0.74,11.8,80,7.08,-26,70
107,9.11,Chris Godwin Jr.,WR,WR30,TB,9.48,8.7782,0.7,11.2,107,9.11,0,76
108,9.12,Jameson Williams,WR,WR31,DET,9.4,8.7782,0.62,9.9,63,6.03,-45,56
